0,xxxSNAMEyyy communication was sent in the month of May 2017 . -Manoj n/n,xxxSNAMEyyy communication was sent in the month of May 2017 . - Manoj,1,1
147,"xxxSNAMEyyy Hi Sunil , We can help with that . Please write to talktousxxxSNAMEyyy.com with your Card No . amp ; registered ( 1/3","xxxSNAMEyyy Hi Sunil , We can help with that . Please write to talk to us xxxSNAMEyyy com with your Card Number and registered ",1,1
148,xxxSNAMEyyy your e-mail . -Anay ( 3/3,xxxSNAMEyyy your e-mail . -Anay ,1,1
149,"xxxSNAMEyyy Hi Alok , To generate PIN for your HDFC Bank Credit Card , follow any of the steps mentioned in the below ( 1/2","xxxSNAMEyyy Hi Alok , To generate PIN for your HDFC Bank Credit Card , follow any of the steps mentioned in the below ",1,1
150,xxxSNAMEyyy We have taken up your issue with the team concerned for a suitable resolution . We appreciate your patience . ( 1/2,xxxSNAMEyyy We have taken up your issue with the team concerned for a suitable resolution . We appreciate your patience . ,1,1
151,xxxSNAMEyyy xxxSNAMEyyy You 're right bro . xxxSNAMEyyy xxxSNAMEyyy is only supporter to black money-ers . It 's n xxxURLyyy,xxxSNAMEyyy xxxSNAMEyyy You are right bro . xxxSNAMEyyy xxxSNAMEyyy is only supporter to black money . It is xxxURLyyy,0,1
152,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy Oct 20 also over ! still no cashback ! wondering if there is a pro xxxURLyyy,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy 20.10.2017 also over ! still no cashback ! wondering if there is a pro xxxURLyyy,0,1
153,"xxxSNAMEyyy Now , they do n't hv connectivity from last 1 hour.As per people this is most frequent prblm twice in a week . Pls do something","xxxSNAMEyyy Now , they do not have connectivity from last 1 hour . As per people this is most frequent problem twice in a week . Please do something",1,1
154,Find out what 's worrying xxxSNAMEyyy more than the xxxHASHTAGyyy xxxURLyyy,Find out what is worrying xxxSNAMEyyy more than the xxxHASHTAGyyy xxxURLyyy,1,1
155,xxxSNAMEyyy My issue got solved in the evening . These guys were helpful . They booked a new flight for me . Cheer xxxURLyyy,xxxSNAMEyyy My issue got solved in the evening . These guys were helpful . They booked a new flight for me . Cheer xxxURLyyy,2,1
156,xxxSNAMEyyy please help me ... .am a verified user but i cant withdraw money for my hospital bill,xxxSNAMEyyy please help me . am a verified user but i can not withdraw money for my hospital bill,1,1
157,"xxxSNAMEyyy Hi . We saw that you mentioned us . If you need help , let us know xxxSNAMEyyy . ^az","xxxSNAMEyyy Hi . We saw that you mentioned us . If you need help , let us know xxxSNAMEyyy . ",1,1
158,xxxSNAMEyyy Just seen this dm'ing you now,xxxSNAMEyyy Just seen this direct messaging you now,1,1
159,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy Right sir,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy Right sir,2,1
160,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy we send complaint of xxxSNAMEyyy branch Tamilnadu from april 2017 no response,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy we send complaint of xxxSNAMEyyy branch Tamilnadu from 01.04.2017 no response,0,1
161,xxxSNAMEyyy xxxURLyyy under ATM Related category . We will look into the matter ( 2/2,xxxSNAMEyyy xxxURLyyy under ATM Related category . We will look into the matter ,1,1
162,xxxSNAMEyyy I have emailed authorisation but I am now being told they need more . Very frustrating and taking a full xxxURLyyy,xxxSNAMEyyy I have emailed authorisation but I am now being told they need more . Very frustrating and taking a full xxxURLyyy,0,1
163,"xxxSNAMEyyy Dear Kaushal Kumar , we regret the inconvenience caused to you . We would like to facilitate a speedy ( 1/2","xxxSNAMEyyy Dear Kaushal Kumar , we regret the inconvenience caused to you . We would like to facilitate a speedy ",2,1
164,xxxSNAMEyyy Ok thanks cooperating,xxxSNAMEyyy Ok thanks cooperating,2,1
165,xxxSNAMEyyy sending you a dm,xxxSNAMEyyy sending you a direct message,1,1
166,"xxxSNAMEyyy Hi , sorry for the trouble . Please share the details of your concerns on the e-mail ID ( 1/2","xxxSNAMEyyy Hi , sorry for the trouble . Please share the details of your concerns on the e-mail ID ",2,1
167,Money and Personal information - not safe in xxxSNAMEyyy Did not get any response xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy,Money and Personal information - not safe in xxxSNAMEyyy Did not get any response xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy,1,1
168,xxxSNAMEyyy Thank You .,xxxSNAMEyyy Thank You .,2,1
169,xxxSNAMEyyy Well I called and was told to call Visa and y'all could n't help me . Frustrated . Now I 'm waiting for hund xxxURLyyy,xxxSNAMEyyy Well I called and was told to call Visa and you all could not help me . Frustrated . Now I 'm waiting for fund xxxURLyyy,0,1
170,"xxxSNAMEyyy Please DM us your a/c no. , VPA , contact no. , and the dispute ref . no . of the dispute raised through ( 1/2","xxxSNAMEyyy Please Direct Message us your account number , VPA , contact no. , and the dispute Reference Number of the dispute raised through ",1,1
171,"xxxSNAMEyyy Hi Rahul , we are fully sensitized to the comments expressed with regard to your credit card and the same ( 1/3","xxxSNAMEyyy Hi Rahul , we are fully sensitised to the comments expressed with regard to your credit card and the same ",2,1
172,xxxSNAMEyyy I called back later in the day and wait time was only 4 min then . Issue resolved . thx,xxxSNAMEyyy I called back later in the day and wait time was only 4 min then . Issue resolved . thanks,2,1
173,"xxxSNAMEyyy Hi there , I 'm sorry about this . Please send me a DM with your account email address and country of resid xxxURLyyy","xxxSNAMEyyy Hi there , I am sorry about this . Please send me a Direct Message with your account email address and country of residence xxxURLyyy",2,1
174,xxxSNAMEyyy yes my concern was only to make sure the testing application when realse .,xxxSNAMEyyy yes my concern was only to make sure the testing application when release .,1,1
175,"xxxSNAMEyyy Hi , we are concerned about your feedback . Please DM us your contact details . Our official will contact you .","xxxSNAMEyyy Hi , we are concerned about your feedback . Please Direct Message us your contact details . Our official will contact you .",2,1
176,xxxSNAMEyyy Pathetic service till now issue is not resolved by HDFC credit card team,xxxSNAMEyyy Pathetic service till now issue is not resolved by HDFC credit card team,0,1
177,"xxxSNAMEyyy Hi Manoj , Please click on the below link : xxxURLyyy to DM us ur complete issue for me to assist you . -Anay","xxxSNAMEyyy Hi Manoj , Please click on the below link : xxxURLyyy to Direct Message us your complete issue for me to assist you . -Anay",1,1
178,xxxSNAMEyyy After spending so much of time on customer care call I could not talk to representatives . The recorded call was just ( 1/3,xxxSNAMEyyy After spending so much of time on customer care call I could not talk to representatives . The recorded call was just ,0,1
179,xxxSNAMEyyy .Mental harresment of customer from last 2days regarding payment of home loan although the payment is made .,xxxSNAMEyyy . Mental harassment of customer from last 2 days regarding payment of home loan although the payment is made .,0,1
180,And this threat by xxxSNAMEyyy xxxSNAMEyyy though ! ! ! ! xxxURLyyy,And this threat by xxxSNAMEyyy xxxSNAMEyyy though ! xxxURLyyy,0,1
181,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxURLyyy,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxURLyyy,1,1
182,xxxSNAMEyyy relevant details of your grievance along with account number and contact details at support.upixxxSNAMEyyy.co.in . We will look into ( 2/3,xxxSNAMEyyy relevant details of your grievance along with account number and contact details at support upi xxxSNAMEyyy co in . We will look into ,1,1
183,xxxSNAMEyyy Been trying to change my PIN at this ATM . Starts properly but always hangs after the 1st step . Repe xxxURLyyy,xxxSNAMEyyy Been trying to change my PIN at this ATM . Starts properly but always hangs after the 01.09.2017 . Reply xxxURLyyy,1,1
184,I already contacted sbi customer care and blocked my card plz take some serious action and help the Unknown to knw xxxURLyyy,I already contacted sbi customer care and blocked my card please take some serious action and help the Unknown to know xxxURLyyy,1,1
185,"xxxSNAMEyyy Hi , you may login to your internet banking account and unblock your card . Please click on Customer Servicegt ; gt ; Service Requestgt ; gt ; 1/2","xxxSNAMEyyy Hi , you may login to your internet banking account and unblock your card . Please click on Customer Service > > Service Request > >",1,1
186,xxxSNAMEyyy resolution . You may check the complaint status at xxxURLyyy . In case you are not satisfied with the complaint ( 2/3,xxxSNAMEyyy resolution . You may check the complaint status at xxxURLyyy . In case you are not satisfied with the complaint ,1,1
187,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy There is no any scope for mistake in d xxxURLyyy,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy There is no any scope for mistake in xxxURLyyy,1,1
188,xxxSNAMEyyy xxxSNAMEyyy Can I get ICT on xxxHASHTAGyyy deducted on xxxHASHTAGyyy by SBI xxxHASHTAGyyy . And how can I apply for it ?,xxxSNAMEyyy xxxSNAMEyyy Can I get ICT on xxxHASHTAGyyy deducted on xxxHASHTAGyyy by SBI xxxHASHTAGyyy . And how can I apply for it ?,1,1
189,xxxSNAMEyyy I 'm the sufferer here not you that is the reason y no pro active solutions are found by you .,xxxSNAMEyyy I am the sufferer here not you that is the reason why no pro active solutions are found by you .,0,1
190,"xxxSNAMEyyy Sorry but you forgot to sent notifications regarding thus revised sheet to your famous employees , th xxxURLyyy","xxxSNAMEyyy Sorry but you forgot to sent notifications regarding thus revised sheet to your famous employees , xxxURLyyy",0,1
191,xxxSNAMEyyy message with us at twitterxxxSNAMEyyy.co.in.Please mention your case id 2598436 in the subject line . We will look into the ( 3/4,xxxSNAMEyyy message with us at twitter xxxSNAMEyyy co in Please mention your case id ref in the subject line . We will look into the ,1,1
192,SBI VADODARA Sayajugunj branch Fategunj branch Nizampura branch Cash Deposit machine not working.SAME ON OUR BANKING SYSTEM.xxxSNAMEyyy,SBI VADODARA Sayajugunj branch Fategunj branch Nizampura branch Cash Deposit machine not working.SAME ON OUR BANKING SYSTEM xxxSNAMEyyy,1,1
193,xxxSNAMEyyy number you may have received for us to look into the matter . -Anay ( 2/2,xxxSNAMEyyy number you may have received for us to look into the matter . -Anay ,1,1
194,"Dear xxxSNAMEyyy xxxSNAMEyyy Bank Aadhaar linking : RBI never issued any order , reveals RTI xxxURLyyy via xxxSNAMEyyy","Dear xxxSNAMEyyy xxxSNAMEyyy Bank Aadhaar linking : RBI never issued any order , reveals RTI xxxURLyyy via xxxSNAMEyyy",1,1
195,xxxSNAMEyyy I am getting the following error while linking aadhaar number xxxURLyyy,xxxSNAMEyyy I am getting the following error while linking aadhaar number xxxURLyyy,1,1
196,xxxSNAMEyyy You may visit the following URLs for details : xxxURLyyy and xxxURLyyy . -Anay n/n,xxxSNAMEyyy You may visit the following URLs for details : xxxURLyyy and xxxURLyyy . -Anay ,1,1
197,"xxxSNAMEyyy Hi , we have made a note of your contact number . Our official will assist you .","xxxSNAMEyyy Hi , we have made a note of your contact number . Our official will assist you .",2,1
198,xxxSNAMEyyy We value your feedback . We will make sure that it 's shared . ^sp,xxxSNAMEyyy We value your feedback . We will make sure that it is shared . ,2,1
199,xxxSNAMEyyy I have a serious issue and need someone to help me asap . Can you DM me ?,xxxSNAMEyyy I have a serious issue and need someone to help me as soon as possible . Can you Direct Message me ?,0,1
200,xxxHASHTAGyyy Does xxxHASHTAGyyy give any special benefits for xxxHASHTAGyyy xxxHASHTAGyyy Ex-Servicemen ... ? xxxURLyyy,xxxHASHTAGyyy Does xxxHASHTAGyyy give any special benefits for xxxHASHTAGyyy xxxHASHTAGyyy Ex Servicemen. ? xxxURLyyy,1,1
201,xxxSNAMEyyy Tried linking aadhar to saving account Message mobile not registered Strange when the same number gets OTP for transactions,xxxSNAMEyyy Tried linking aadhar to saving account Message mobile not registered Strange when the same number gets OTP for transactions,0,1
202,"xxxSNAMEyyy Hi Hitesh , Thank you for writing to us . We 're working on getting back to you with an update soon . -Anay","xxxSNAMEyyy Hi Hitesh , Thank you for writing to us . We are working on getting back to you with an update soon . - Anay",2,1
203,"xxxSNAMEyyy Sorry correction . Address HDFC Bank , PN A005 , Midtown CHS , Sec 9 , Thane , Maharashtra 400708","xxxSNAMEyyy Sorry correction . Address HDFC Bank , PN A005 , Midtown CHS , Sec 9 , Thane , Maharashtra 400708",2,1
204,xxxSNAMEyyy Please use the link below to send us a private message with the specific location so we can fix it.^nw xxxURLyyy,xxxSNAMEyyy Please use the link below to send us a private message with the specific location so we can fix it now xxxURLyyy,2,1
205,xxxSNAMEyyy Its been 23 days and your customer care people are so unprofessional they hang up if they dont kno xxxURLyyy,xxxSNAMEyyy It is been 23 days and your customer care people are so unprofessional they hang up if they dont know xxxURLyyy,0,1
206,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy nothing just being rude and ignorant is D 's d fate of common man,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy nothing just being rude and ignorant is D 's the fate of common man,0,1
207,"xxxSNAMEyyy Even after an account is hacked , it been 3 days and the fraud activity is still going on , does xxxURLyyy","xxxSNAMEyyy Even after an account is hacked , it been 3 days and the fraud activity is still going on , does xxxURLyyy",0,1
208,xxxSNAMEyyy the status shortly . Sorry for the trouble . ( 2/2,xxxSNAMEyyy the status shortly . Sorry for the trouble . ,2,1
209,"xxxSNAMEyyy xxxSNAMEyyy Poor Loan Service . Promised Prsnal Loan sanctioning of 3-5 days has turned to a frtnight , Still not rcvd money","xxxSNAMEyyy xxxSNAMEyyy Poor Loan Service . Promised Personal Loan sanctioning of 3-5 days has turned to a fortnight, Still not received money",0,1
210,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy Paytm support has failed to address my issu xxxURLyyy,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy Paytm support has failed to address my issue xxxURLyyy,0,1
